,species,page_rank
136,CAYMANS,2.0053612549770197
137,ILLEX,2.0018344565322534
138,SALMINUS BRASILIENSIS,1.9946278044736492
139,STENOPERLA PRASINIA,1.993551366811621
140,GALELD,1.9913260258113599
141,SMOOTH DOGFISH,1.984627970311919
142,TURBELLARIA,1.9843812698840997
143,"S. FONTINALIS (12-20"")",1.9733191872801854
144,GALAXIAS SP. ,1.9642507447940085
145,KESTREL,1.9540323480235957
146,TARICHA TOROSA (ADULT),1.95206783215471
147,LETHOCERUS AMERICANUS (ADULT),1.9403585343344674
148,THORNY SKATE,1.9281173893311099
149,LETHOCERUS AMERICANUS (LARVAE),1.9174412397866851
150,PORPOISE SHARK,1.885530785698314
151,SIALIS - ODO - MOLA - POLYCEN,1.8636721630573996
152,LEUCCORHINIA,1.8451034421596773
153,SYMPETRUM,1.8451034421596773
154,SNAPPERS,1.8366927250816103
155,INSECTIVOROUS BIRDS (PURPLE SANDPIPER - SNOW BUNTING (JUV.)),1.8271970333035716
156,HYDROPHILUS SP. (ADULT),1.8250494324345645
157,COMINELLA,1.8203273289479807
158,PLECTROCNEMIA CONSPERSA,1.817171957865076
159,ISOPERLA,1.8103787962431759
160,OTHER DECAPODS,1.8006095498251384
161,RAPTORS,1.798429812168874
162,EUROPEAN CARP,1.7899016985515244
163,EUPHASIIDS,1.777026313141555
164,ANAXYRUS BOREAS (ADULT),1.741581487626889
165,TARICHA TOROSA (LARVAE),1.7332481000826936
166,CRANGON SP.,1.7326382382951029
167,COSTACHOREMA XANTHOPTERA,1.7297489365158563
168,ANAX JUNIUS (LARVAE),1.7050067441687873
169,WYEOMIA SMITHII,1.7037616324662666
170,HMS SHARKS,1.7036914180674554
171,ECTOPARASITES (PHTHIRAPTERA),1.7031174783080356
172,PHILONTHUS SP.,1.6900066120338004
173,SCIANIDS,1.6795955518949108
174,EUBOTHRIUM SALVELINI ,1.676076875858438
175,SUMMER FLOUNDER,1.676072832457777
176,WINDOWPANE FLOUNDER,1.6731508397175727
177,NEMERTINI,1.6676610176294788
178,WINTER FLOUNDER,1.6652086372135957
179,DOLPHINS,1.6486567191238473
180,MYSIDS,1.644952142623499
181,SEA RAVEN,1.6374522009317876
182,TRAMEA SP. (LARVAE),1.6308187968735093
183,PREDATORY FISHES,1.6266169745514965
184,AGABUS,1.6140447697400562
185,AMERICAN PLAICE,1.6096203174886854
186,WEAKFISH,1.6083914714887162
187,GAMMARIDS,1.6076633435726442
188,POLYCHAETES,1.6057795751256025
189,GULLS,1.6032694081312004
190,ANCHOVY,1.5958651029518414
191,SIDEROXYLON PUBERULUM,1.5775840942256267
192,OTHER WORMS,1.5642907969094766
193,ISOPODS,1.5601064082185572
194,OPHIOGOMPHUS SEVERUS,1.5589374595126293
195,HYPERIIDS,1.5526102253329135
196,PSIADIA TEREBINTHINA,1.5414302584780408
197,CHAETOGNATHA,1.532102583126071
198,MEDUSAE - CTENOPHORA,1.5276876235693724
199,GALGOL,1.5167786034517543
200,APHLOIA THEIFORMIS,1.5106518493871315
201,PANDALIDS,1.5076309237715741
202,IMPARFINIS MIRINI,1.5062702328085866
203,LH SCULPIN,1.5047980849505012
204,PREDACEOUS ACARI,1.494968854952984
205,HALIBUT,1.491994203069584
206,TROPISTERNUS SP. (LARVAE),1.4754814438070603
207,CAPRELLIDS,1.4753347531096475
208,SIALIS FULIGINOSA,1.4669469016237682
209,GLYCERA TRIDACTYLA,1.45923279272546
210,EURYTOMA BRUNNIVENTRIS,1.4374256120267972
211,TACHYTA NANA,1.4309746939787307
212,OCEAN POUT,1.4200529931350228
213,FERRUGINOUS HAWK,1.4199911270735857
214,FOUR-SPOT FLOUNDER,1.4185515890260345
215,COELOMOMYCES (FUNGI),1.414935704707428
216,HYDROPHILUS SP. (LARVAE),1.4124515649225946
217,YELLOWTAIL FLOUNDER,1.4123261408454912
218,WITCH FLOUNDER,1.4045225827703305
219,"CLAMS, MUSSELS",1.3896926662597477
220,MEIOFAUNA,1.3867551195463965
221,SMALLER TOOTHED WHALES,1.384920661634685
222,PURPLE SANDPIPER,1.382631743894738
223,BELOSTOMA SP. (ADULT),1.3806138753207002
224,BELOSTOMA SP. (LARVAE),1.3806138753207002
225,FISH-EATING BIRDS,1.3797131517399903
226,CLADOCERAN UNKNOWN,1.3701771768014313
227,COPEPOD UNKNOWN,1.3701771768014313
228,ERYTHROCULTER,1.3701693950174416
229,ELOPICHTHYS,1.3553756618315371
230,CANCER CRABS,1.3391177685500812
231,OTHER CRABS,1.3391177685500812
232,PSEUDACRIS REGILLA (ADULT),1.3341213109170282
233,REEF FISHES,1.3340081276748224
234,POLYPHEMUS PEDICULUS,1.332586901780185
235,NOTONECTA SP. (ADULT),1.3254646193588973
236,NOTONECTA SP. (LARVAE),1.3254646193588973
237,PISCMM2: LARGE PINNIPEDS,1.3205507129344816
238,TERTIARY CARNIVORES,1.319924166825321
239,PHYTOPLANKTON,1.312696288169627
240,LESTES SP. (LARVAE),1.309761126215138
241,OCEAN PERCH,1.304923812606614
242,EUPELMID N. GENUS,1.3043233873991622
243,EUPELMID GEN. N.,1.303207762399162
244,PREHISTORIC ALEUT MAN,1.3004285711366022
245,FISH AND CRUSTACEAN-EATING BIRDS,1.2985428462732431
246,XENOPLATYURA BEAVERI,1.2948720833333334
247,COYOTE,1.280575840227244
248,HOBBYA STENONOTA,1.2775479241580026
249,PISCF9: FLATFISH (WATER-COLUMN FEEDERS),1.2681706206391197
250,CLOSTEROCERUS CINCTIPENNIS,1.266113083440865
251,BURROWING OWL,1.263287654366367
252,ARCHICHAULIODES DIVERSUS,1.2623594342492206
253,PHOXINUS EOS - PHOXINUS NEOGAEUS,1.2620019072957245
254,WALLEYE,1.2601451909704333
255,SERRASALMUS SPP,1.2568304115529478
256,LUMBRINERIS IMPATIENS,1.2558552289481504
257,ARIIDAE,1.2518801656012768
258,COENAGRION SP. (LARVAE),1.2480610720942853
259,BENTHOS-EATING FISH,1.247668652063697
260,GUDGEON,1.2474309523809524
261,REDFISH,1.2415755504820318
262,APROSTOCETUS SP. NR AETHIOPS (ZETTERSTEDT),1.2411503539555848
263,HEDISTE DIVERSICOLOR,1.236655824724056
264,ZOOPLANKTON,1.2358695986474317
265,PISCF7: SABLEFISH,1.2322991383394346
266,MARITREMA NOVAE,1.2302483343329327
267,PHILONEMA ONCORHYNCHI ,1.2297933797203537
268,BOBCATS,1.2241705737846722
269,DINOCRAS CEPHALOTES,1.2169421409576082
270,ANTELOPE,1.2150297619047619
271,SNAILS,1.211145433198765
272,FISHES,1.209760405384931
273,PISCMM1: SMALL PINNIPEDS,1.204326271868151
274,GALAXIIDAE NEW SP.,1.2023089543533014
275,STERNA,1.2002809104747656
276,RED DRUM,1.1916886352797225
277,MYOXOCEPHALUS,1.185446671609144
278,JACKS,1.1811208697147848
279,TACHYMENIS FLAVICAUDA,1.1801404025466
280,PREDACEOUS FISH,1.178360220797187
281,PISCF5: DOGFISH AGGREGATE,1.1776489579288838
282,SCALLOPS,1.170407845138252
283,SPOTTY,1.1702329934208417
284,BLACK TURNSTONE,1.1654481757633017
285,PISCF2: SHARK AGGREGATE,1.1641152043004053
286,STRAY DOG CANIS FAMILIARIS,1.1601205647455795
287,CARNIVOROUS VERTEBRATE HARVESTERS,1.158525719751057
288,CYATHURA CARINATA,1.1566932760856545
289,HYPACANTHUS,1.156479386002086
290,CROTON FOTHERGILLIFOLIUS,1.1550518235072147
291,COOPER'S AND SHARPSHINNED HAWKS,1.1543271757339724
292,ARRENURUS SP. ,1.1520321733139733
293,FALCO PEREGRINUS (PEREGRINE FALCON),1.14576045703125
294,SEA MAMMALS,1.1431311306212906
295,SALMO TRUTTA (N=3),1.1392172083086636
296,SYMPETRUM SCOTICUM (DONOVAN),1.135614782616881
297,AGELENA LABYRINTHICA,1.131881484375
298,LINYPHIA TRIANGULARIS,1.131881484375
299,PISCIVOROUS BIRDS,1.1314419095955401
300,WEASELS,1.12861543666117
301,H. MALABARICUS,1.1270001534073562
302,P. MACULATUS,1.1261612379083112
303,POLYPLECTROPUS PUERILIS,1.1261454270362796
304,SKATES,1.1251212098949017
305,PSEUDOTOLITHUS,1.1222074339181667
306,HYDROTAEA OCCULTA,1.1169375000000001
307,MUSCINA ASSIMILIS,1.1169375000000001
308,CROCODILE,1.1104706979940222
309,LECHRIODUS FLETCHERI,1.1012573249511721
310,SPIDERS,1.1007539796984505
311,DILEPTIS,1.1005217345865885
312,FISH,1.09846364273207
313,FLATFISH SP.,1.0938519592735723
314,SPIDERS (ERIGONE ARCTICA - ERIGONE PSYCHROPHILA - MEIONETA NIGRIPES - HALORATES SPETSBERGENSIS - HILAIRA GLACIALIS),1.0909020357142858
315,FISH LARVAE,1.0888863529813244
316,CUMACEANS,1.0813801263374034
317,PARASITOIDS (ACLASTUS BOREALIS - GELIS GLACIALIS),1.077266730357143
318,P. RETICULATUM,1.0667893984615293
319,PINFISH,1.0660774918476847
320,ASTYANAX SCABRIPINNIS,1.0644794345184008
321,MALLARD,1.0638210051163803
322,JELLYFISH,1.060416277268243
323,CARNIVORE POLYCHAETES,1.0585583312472198
324,OMNIVORE POLYCHAETES,1.0585583312472198
325,YABBY,1.0525178571428575
326,ROBBER FLY,1.0513574579468292
327,OTHER LARGE FISH,1.0472294703900058
328,CIRCUS - ASIO,1.0447114941213518
329,CHARIESSA PILOSA,1.0397972244628821
330,NEPHTHYS SPP.,1.0388826976261016
331,FLATHEAD,1.0383710101843162
332,HMS SCOMBRIDS,1.0362204016062435
333,S. THOMPSONI,1.0334465207310277
334,AOTEAPSYCHE SPP.,1.028466398795056
335,CUSK,1.0274855794048579
336,JAEGERS,1.0265491387059975
337,RAINBOWFISH,1.0229702380952383
338,AGABUS BIPUSTULATUS (L.),1.0199147414249472
339,AGABUS STURMII (GYLLENHAL),1.0199147414249472
340,ILYBIUS FULIGINOSUS (FABRICUS),1.0199147414249472
